"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000035b5e5ad9019092c665357240f594e","1.6E-17","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","8.74214927514637","No"
"0x00000000500e2fece27a7600435d0c48d64e0c00","55.4122898151666","No"
"0x00000000a991c429ee2ec6df19d40fe0c80088b8","4.1E-17","No"
"0x007933790a4f00000099e9001629d9fe7775b800","0.00054","No"
"0x01a4ed1dc89a0eac2a57261cfd118cc0a0e1bdbf","590000","No"
"0x046637da419b05d1cb97790cdccd0541b6e5a7d7","949406.819701866","No"
"0x047c7fb3ccd0c15030b9257fb5b2c625ae63468d","3000000","No"
"0x0528b39fdfdcfae0440ed0904508345adfa5bd36","5211983.05472884","No"
"0x05a7b10c01feb1bc5fc0b772b61cb8ad1ff2f429","228793.978930714","No"
"0x05f6875132b910976ee165171b78d7965e0fbf5c","136635.666106075","No"
"0x06a651e60bda7a1929f45dcf9c880cc10b0214b0","4544502.47236701","No"
"0x06c10575da3959f0702b2efd911c8ee2307af5e0","609059.590357606","No"
"0x07507d3abafa1f7fd694938efd90bd6334fe1f27","123467.884682507","No"
"0x0760b489263a4bcd02415d3a5f765a5e09b05a0e","1488824.60778596","No"
"0x090683e081ed5dd5ee5d5ffb502980c443631bba","14408398.360752","No"
"0x093cf8a18437751d849a5fdb6095fd27765d0907","646117.571912867","No"
"0x0b0ed4dbaf85942331fe84e41e4d9103fdff9462","2168831.0095247","No"
"0x0b734913c3e2bd1f653b6450ab25020a2c12bdd5","107054.864071848","No"
"0x0b85bd1e45c84fe62556a7a351a101c9601c2be3","207123.602588983","No"
"0x0bbcc0febe0985bdb63dc68b0cf36afff3354d86","367378.418543266","No"
"0x0bdbb0f5e2d9ff8ca29b4170b5a5d3bdc18aa07e","305151.687825385","No"
"0x0be864dd126689d05ce85cfa2ba465bcda38a0e5","1792041.40758365","No"
"0x0c87fcb7b8e7c1c55819c29a6abd86f336c032ff","685098.378300078","No"
"0x0cf48eedbbe411f4384c0001e777c9770a7076a4","72941.8183704002","No"
"0x0d0b52d74b172ab650646b652360a92503752653","300000","No"
"0x0d0c5b4bfccacbe1f35ef525cf7436453b37f177","371053.982952566","No"
"0x0e4b6cbb814d84fe7fcb0b542355b88e35f77dcd","610380.792104218","No"
"0x0e63da167b4bae4ecc8c72747c8d064c1da5aa5e","777650.500321269","No"
"0x0ec0c25aac069807217cbe9eabae9c54563b350b","0.533485001437953","No"
"0x0efb322a9b425a6b319059c1cceb1da03c328720","256144.890293911","No"
"0x0fa06c0751019f371f4b45b7059a89c0a107f0ec","1000000","No"
"0x1021bd4ee1bf7f80bcab88300f916fa664e1cc29","11340334.569628","No"
"0x1111111254eeb25477b68fb85ed929f73a960582","1E-18","No"
"0x1268c0846dc87b9413143895d03291fb32d7d23e","297974.623279493","No"
"0x13429346aa87976c4dc2984fbd349c2eca2d9e91","4891168.00877588","No"
"0x166db7c64c93183ceebb2ae17bbc3cb97e4cb4e9","147749.818615775","No"
"0x172bf6d50c609928c4e2e57eb05aad32c2cfdfd1","13153506.076133","No"
"0x177f2b2d69abec6dedb17985978abf6d754f46d0","468521.361751686","No"
"0x1927be47d3db90022d76461241b9a0d2591fe1c0","11490361.6390067","No"
"0x1999519ad1fc5fcb26b3922a56aca7563b914fb4","5004469.21110299","No"
"0x1a48c5bbc28747fc3f1e36b948d9b35fe8f98eab","646480.331097629","No"
"0x1a98024504122d9ec286ef8f7a477fb8adfa9a39","5000000","No"
"0x1b0ee87f3973858b0d1d577ecaf99c73a6d95fff","1446980.19545814","No"
"0x1b642580de458fb48b248df600612bfe31897de6","904814.738370183","No"
"0x1c47f4fc37eb29f0353d6214bc4dda352e0d96b4","758813.704417646","No"
"0x1c5a1ea0ec55ee28277db347569750461fb7b0ae","930832.709064739","No"
"0x1c83d5ce103cdb066cd79811d3abee5e838156ab","110442.981489258","No"
"0x1cd0433f283eeecff39daffb4009d0a18898372e","316490.07932715","No"
"0x1d181e7bc93bf1a1a71f44bdfb0665baabed5448","1100960.15577585","No"
"0x1e085995e4c5c8a50a6728008beb6391a9aa93be","540281.81888443","No"
"0x1e8020440096732318470fd79d499080736d4454","118479.142157328","No"
"0x1ebef4bc8774b15186e62f4c6d1f0ec1556dc61a","800000","No"
"0x1fba0d796b978682a55da9f1976d41559b1808f6","648672.74079707","No"
"0x20051a00c2116bf74124f2e4ecca788324cb534a","127770.389527746","No"
"0x20a910b8e5a17b94805e71c73ce6d72778865274","1875379.52219689","No"
"0x21061a605c61cd6594084bc6bebdbbfea39c8d2a","0.14870093225152","No"
"0x212c5da34446cf91d8fd45945f3a87c86561bc8e","2320816.92860066","No"
"0x21f8dde1e270850dba37d489c97717fc0da7bb78","643601.626763242","No"
"0x238b03517a2f27160b10382657ad8f71eb36c51a","404389.074643085","No"
"0x23c140b8c9729feec9405c87a9d87c99d5f3986b","229815.025434366","No"
"0x242d67316e5b10b5d3cceb6f1965bf652db606c7","5100000","No"
"0x24af2be0fc51e429fc16da3667727ba9f4ace55d","3655262.28488875","No"
"0x272fcde0475981d2ae5fa60ff23df30c4602b2af","1924874.76987932","No"
"0x276a5943cb399849d68983300ecd90a5fcc20733","707386.354894246","No"
"0x2798a92271a9b70158fac2bff0d3f695d634165b","93276.1832231082","No"
"0x27d471822014d5b8b75903e94021eec62f8e9779","2500000","No"
"0x2867a896a19e6a965ee463b05a627d6991a5bd94","590232.478488259","No"
"0x290f8719df672d020de0f1363823d7160aa5a543","377140.953296399","No"
"0x29b97b9a126b0d78de403a5248681467192c3abf","476694.245857461","No"
"0x2abc2a932f1cc05e5da5c5705a15bf60e89ba7d5","3340829.43163645","No"
"0x2ad4e08d13b23bbbdf01996f92a89b5f33757f07","186550.381365862","No"
"0x2b2c9ff0153ca89d90a70faac320453b8596ce8b","6102369.53883725","No"
"0x2cbfbd67dfa3c7ec5a60c631f00531171ca088e1","1.42364008351582","No"
"0x2d804382bd9bb00ed11c97cf4eec696f33c67f6f","322515.363768998","No"
"0x2e00d9e3173cac1e2989029b8a1ee407b49a0d6c","0.025202967265625","No"
"0x2f6134a786cf2641787814fd131b78ce546f3716","520955.114996811","No"
"0x2fac67a0a53b8c455024809f7c75df827ba35337","346102.229567172","No"
"0x3078e9565506e2d6724a6a4085f0cf33dfc68d61","16996390.8574083","No"
"0x3111d276765b9adc48e735a81228eb50648abd56","170000","No"
"0x31c580eaa1dc9151988a078a094c930d3419f18e","907828.398630675","No"
"0x3276bae4cb7abea0bc877a48b625c14ad51f0ad5","3213241.73708844","No"
"0x32830c98697c555cbda07b6c9010c251cd80e993","769201.256571241","No"
"0x32b5761bc7978595f535e970fdfdcb4ef3a47c85","0.580457467988159","No"
"0x3349b1e80fa60858413b9bcd587c59030a86b92d","804728.804818732","No"
"0x339c53568f8585562e07c2db0e776614c0f2e1e1","1543862.29505529","No"
"0x33ca1d54161db91c3e11cc952587c261ff511f21","3530057.58483274","No"
"0x3415c4d22dcb1e2442a55c8bd8bcdc47aacc7106","1214073.29747591","No"
"0x34254e13599658df4c04d83b8fc9dcad566e611c","421377.209186517","No"
"0x34777c9eb392259ca4f3ee8e55fa7795629d4811","566230.486119738","No"
"0x3539580eef6aea74f540bbc081ad60ccf9e5ee94","1087359.37956905","No"
"0x3596b5107b5058504a591022250bbe81bc565560","573574.916454835","No"
"0x3674c393a275e1b60097f43afaf424238b7856dc","0.0870903230890337","No"
"0x36e7f8a7e490f6b10f55c985441bbba13e04f5be","954250.416380582","No"
